tconst,title_type,primary_title,original_title,year,runtime_minutes,simple_title,average_rating,num_votes,timestamp,release_date
tt0079423,movie,A Summer of Love,En kärleks sommar,1979,98,a summer of love,5.3,95,01/01/24 17:30,04/01/24
tt0079965,movie,Summer Camp,Summer Camp,1979,85,summer camp,3.7,574,01/01/24 17:30,04/01/24
tt0080013,movie,That Summer!,That Summer!,1979,94,that summer,6.4,161,01/01/24 17:30,04/01/24
tt0080534,movie,Summer Showers,Chuvas de Verão,1978,93,summer showers,7.1,232,01/01/24 17:30,04/01/24
tt0080611,movie,Last Summer,Dernier été,1981,85,last summer,6.6,125,01/01/24 17:30,04/01/24
tt0081069,tvMovie,The Long Days of Summer,The Long Days of Summer,1980,100,the long days of summer,6.3,59,01/01/24 17:30,05/01/24
tt0082233,movie,A Dangerous Summer,A Dangerous Summer,1982,100,a dangerous summer,3.4,272,01/01/24 17:30,05/01/24
tt0082746,tvMovie,A Midsummer Night's Dream,A Midsummer Night's Dream,1981,112,a midsummer nights dream,6.7,341,01/01/24 17:30,05/01/24
tt0082902,movie,Pick-up Summer,Pinball Summer,1980,99,pickup summer,4.3,449,01/01/24 17:30,05/01/24
tt0083141,tvMovie,Summer Solstice,Summer Solstice,1981,75,summer solstice,7.1,287,01/01/24 17:30,05/01/24
tt0083947,movie,Five Days One Summer,Five Days One Summer,1982,108,five days one summer,6.1,1341,01/01/24 17:30,05/01/24
tt0084265,tvMovie,The Long Summer of George Adams,The Long Summer of George Adams,1982,100,the long summer of george adams,7.4,99,01/01/24 17:30,05/01/24
tt0084328,tvMovie,A Midsummer Night's Dream,A Midsummer Night's Dream,1982,NA,a midsummer nights dream,7.8,105,01/01/24 17:30,05/01/24
tt0084329,movie,A Midsummer Night's Sex Comedy,A Midsummer Night's Sex Comedy,1982,88,a midsummer nights sex comedy,6.6,20628,01/01/24 17:30,05/01/24
tt0084636,movie,Klynham Summer,The Scarecrow,1982,88,klynham summer,5.7,224,01/01/24 17:30,05/01/24
tt0084737,movie,Summer Lovers,Summer Lovers,1982,98,summer lovers,5.8,4534,01/01/24 17:30,05/01/24
tt0084957,movie,A Hot Summer Night,Een zwoele zomeravond,1982,95,a hot summer night,7.1,42,01/01/24 17:30,05/01/24
tt0085241,movie,Bicycles Are for the Summer,Las bicicletas son para el verano,1984,103,bicycles are for the summer,7.3,891,01/01/24 17:30,05/01/24
tt0086332,movie,A Midsummer Night's Dream,Sogno di una notte d'estate,1983,104,a midsummer nights dream,5.4,81,01/01/24 17:30,05/01/24
tt0086385,tvMovie,Summer Girl,Summer Girl,1983,96,summer girl,6.2,173,01/01/24 17:30,05/01/24
tt0086387,movie,Summerspell,Summerspell,1983,100,summerspell,5.2,118,01/01/24 17:30,05/01/24
tt0086655,movie,One Deadly Summer,L'été meurtrier,1983,133,one deadly summer,7.2,5468,01/01/24 17:30,05/01/24
tt0087164,movie,A Summer at Grandpa's,Dong dong de jiàqi,1984,93,a summer at grandpas,7.6,1788,01/01/24 17:30,05/01/24
tt0087591,tvMovie,Last Day of Summer,Last Day of Summer,1984,54,last day of summer,8.4,55,01/01/24 17:30,05/01/24
tt0087719,tvMovie,A Midsummer Night's Dream,A Midsummer Night's Dream,1984,80,a midsummer nights dream,6.9,36,01/01/24 17:30,05/01/24
tt0088201,tvMovie,Summer Fantasy,Summer Fantasy,1984,120,summer fantasy,5.1,195,01/01/24 17:30,05/01/24
tt0088202,movie,A Summer in Saint Tropez,Un été à Saint-Tropez,1983,59,a summer in saint tropez,5.1,561,01/01/24 17:30,05/01/24
tt0088203,movie,Summer's Children,Summer's Children,1979,83,summers children,5.5,25,01/01/24 17:30,05/01/24
tt0088338,movie,The Elusive Summer of '68,Varljivo leto '68,1984,91,the elusive summer of 68,8.5,6140,01/01/24 17:30,05/01/24
tt0089202,tvMovie,Gidget's Summer Reunion,Gidget's Summer Reunion,1985,93,gidgets summer reunion,6.2,108,01/01/24 17:30,05/01/24
tt0090098,movie,Summer Rental,Summer Rental,1985,87,summer rental,6.3,18610,01/01/24 17:30,05/01/24
tt0090099,tvMovie,A Summer to Remember,A Summer to Remember,1985,93,a summer to remember,7,187,01/01/24 17:30,05/01/24
tt0090663,tvMovie,As Summers Die,As Summers Die,1986,87,as summers die,6,869,01/01/24 17:30,05/01/24
tt0090932,movie,Last Summer in Tangiers,Dernier été à Tanger,1987,115,last summer in tangiers,4.9,203,01/01/24 17:30,05/01/24
tt0091680,movie,One Crazy Summer,One Crazy Summer,1986,93,one crazy summer,6.4,16952,01/01/24 17:30,05/01/24
tt0091985,movie,The Summer of the Samurai,Der Sommer des Samurai,1986,100,the summer of the samurai,5.7,60,01/01/24 17:30,05/01/24
tt0092678,movie,Late Summer Blues,Blues Lahofesh Hagadol,1987,101,late summer blues,7.5,308,01/01/24 17:30,05/01/24
tt0093516,movie,Meatballs III: Summer Job,Meatballs III: Summer Job,1986,96,meatballs iii summer job,3.5,2631,01/01/24 17:30,05/01/24
tt0093650,movie,"Summer Night with Greek Profile, Almond Eyes and Scent of Basil","Notte d'estate con profilo greco, occhi a mandorla e odore di basilico",1986,94,summer night with greek profile almond eyes and scent of basil,5.8,380,01/01/24 17:30,05/01/24
tt0094070,movie,Summer Camp Nightmare,Summer Camp Nightmare,1986,89,summer camp nightmare,5.3,989,01/01/24 17:30,05/01/24
tt0094071,movie,Summer Heat,Summer Heat,1987,80,summer heat,4.8,431,01/01/24 17:30,05/01/24
tt0094072,movie,Summer School,Summer School,1987,97,summer school,6.6,22457,01/01/24 17:30,05/01/24
tt0094318,movie,White Water Summer,White Water Summer,1987,90,white water summer,6.2,6023,01/01/24 17:30,05/01/24
tt0094595,movie,Summer Vacation 1999,1999 nen no natsu yasumi,1988,90,summer vacation 1999,6.6,300,01/01/24 17:30,05/01/24
tt0094637,movie,Aloha Summer,Aloha Summer,1988,98,aloha summer,5.7,301,01/01/24 18:30,05/01/24
