,tconst,title_type,primary_title,original_title,year,runtime_minutes,simple_title,average_rating,num_votes,timestamp,release_date
142,tt0094072,movie,Summer School,Summer School,1987.0,97.0,summer school,6.6,22457,01/01/24 17:30,05/01/24
143,tt0094318,movie,White Water Summer,White Water Summer,1987.0,90.0,white water summer,6.2,6023,01/01/24 17:30,05/01/24
144,tt0094595,movie,Summer Vacation 1999,1999 nen no natsu yasumi,1988.0,90.0,summer vacation 1999,6.6,300,01/01/24 17:30,05/01/24
145,tt0094637,movie,Aloha Summer,Aloha Summer,1988.0,98.0,aloha summer,5.7,301,01/01/24 18:30,05/01/24
146,tt0094795,movie,Breaking Loose: Summer City II,Breaking Loose: Summer City II,1988.0,87.0,breaking loose summer city ii,3.9,60,01/01/24 18:30,05/01/24
147,tt0095280,movie,Haunted Summer,Haunted Summer,1988.0,106.0,haunted summer,5.8,594,01/01/24 18:30,05/01/24
148,tt0095433,movie,The Summer of Aviya,Ha-Kayitz Shel Aviya,1988.0,95.0,the summer of aviya,7.1,439,01/01/24 18:30,05/01/24
149,tt0095441,movie,The Cold Summer of 1953,Kholodnoe leto pyatdesyat tretego,1988.0,101.0,the cold summer of 1953,7.8,2595,01/01/24 18:30,05/01/24
150,tt0095920,movie,Summer Temptations,Provocazione,1988.0,83.0,summer temptations,4.7,216,01/01/24 18:30,05/01/24
151,tt0096036,movie,Summer Thefts,Sarikat Sayfeya,1988.0,102.0,summer thefts,7.1,139,01/01/24 18:30,05/01/24
152,tt0096137,movie,Summer,Sommer,1988.0,105.0,summer,6.5,21,01/01/24 18:30,05/01/24
153,tt0096189,movie,A Summer Story,A Summer Story,1988.0,95.0,a summer story,7.2,1249,01/01/24 18:30,06/01/24
154,tt0096190,movie,Summertime Blues,Summertime Blues: Lemon Popsicle VIII,1988.0,90.0,summertime blues,4.7,757,01/01/24 18:30,06/01/24
155,tt0097160,tvMovie,A Day in Summer,A Day in Summer,1989.0,105.0,a day in summer,8.4,31,01/01/24 18:30,06/01/24
156,tt0097765,movie,A Summer to Remember,Ljeto za sjecanje,1990.0,105.0,a summer to remember,6.4,55,01/01/24 18:30,06/01/24
157,tt0098411,movie,Summer Job,Summer Job,1989.0,92.0,summer job,4.4,662,01/01/24 18:30,06/01/24
158,tt0098463,movie,That Summer of White Roses,Djavolji raj,1989.0,98.0,that summer of white roses,5.8,178,01/01/24 18:30,06/01/24
159,tt0098587,movie,Summer of the Colt,El verano del potro,1989.0,100.0,summer of the colt,6.2,134,01/01/24 18:30,06/01/24
160,tt0098623,movie,Warm Summer Rain,Warm Summer Rain,1989.0,82.0,warm summer rain,4.9,501,01/01/24 18:30,06/01/24
161,tt0100277,movie,Summer Night in Town,Nuit d'été en ville,1990.0,85.0,summer night in town,6.1,525,01/01/24 18:30,06/01/24
162,tt0100715,tvMovie,Summer Dreams: The Story of the Beach Boys,Summer Dreams: The Story of the Beach Boys,1990.0,90.0,summer dreams the story of the beach boys,6.4,528,01/01/24 18:30,06/01/24
163,tt0101328,movie,An American Summer,An American Summer,1990.0,100.0,an american summer,5.4,289,01/01/24 18:30,06/01/24
164,tt0101449,movie,Bikini Summer,Bikini Summer,1990.0,87.0,bikini summer,3.6,586,01/01/24 18:30,06/01/24
165,tt0101985,movie,A Brighter Summer Day,Guling jie shaonian sharen shijian,1991.0,237.0,a brighter summer day,8.2,13034,01/01/24 18:30,06/01/24
166,tt0102878,movie,A Sensuous Summer,A Sensuous Summer,1991.0,80.0,a sensuous summer,4.2,57,01/01/24 18:30,06/01/24
167,tt0102907,movie,Summer of the Lion Kings,Shishiohtachi no natsu,1991.0,107.0,summer of the lion kings,4.7,11,01/01/24 18:30,06/01/24
168,tt0103005,tvMovie,The Summer My Father Grew Up,The Summer My Father Grew Up,1991.0,97.0,the summer my father grew up,6.2,75,01/01/24 18:30,06/01/24
169,tt0103813,movie,Bikini Summer II,Bikini Summer II,1992.0,85.0,bikini summer ii,3.3,513,01/01/24 18:30,06/01/24
170,tt0103997,tvMovie,The Comrades of Summer,The Comrades of Summer,1992.0,90.0,the comrades of summer,5.9,399,01/01/24 18:30,06/01/24
171,tt0105801,movie,Wet and Wild Summer!,Wet and Wild Summer!,1993.0,95.0,wet and wild summer,4.1,314,01/01/24 19:30,06/01/24
172,tt0105853,movie,Summer Lovers,Xia ri qing ren,1992.0,80.0,summer lovers,6.0,50,01/01/24 19:30,06/01/24
173,tt0106991,movie,Three Summers,Ge ge de qing ren,1992.0,90.0,three summers,6.4,72,01/01/24 19:30,06/01/24
174,tt0107212,movie,Indian Summer,Indian Summer,1993.0,97.0,indian summer,6.5,6083,01/01/24 19:30,06/01/24
175,tt0107496,movie,Malibu Summer,Malibu Summer,1993.0,,malibu summer,4.3,46,01/01/24 19:30,06/01/24
176,tt0107743,movie,The Olympic Summer,Der olympische Sommer,1993.0,85.0,the olympic summer,7.1,39,01/01/24 19:30,06/01/24
177,tt0108252,movie,Sune's Summer,Sunes sommar,1993.0,83.0,sunes summer,7.0,5126,01/01/24 19:30,06/01/24
178,tt0109549,movie,Dark Summer,Dark Summer,1994.0,90.0,dark summer,5.6,12,01/01/24 19:30,06/01/24
179,tt0109620,movie,In the Heat of Summer,Dim ji bing bing: Ching nin gon taam,1994.0,98.0,in the heat of summer,6.9,22,01/01/24 19:30,06/01/24
180,tt0109729,movie,The Endless Summer 2,The Endless Summer 2,1994.0,109.0,the endless summer 2,7.6,2239,01/01/24 19:30,06/01/24
181,tt0110168,movie,My Summer Story,It Runs in the Family,1994.0,85.0,my summer story,5.6,1840,01/01/24 19:30,06/01/24
182,tt0111312,tvMovie,Summertime Switch,Summertime Switch,1994.0,85.0,summertime switch,5.9,541,01/01/24 19:30,06/01/24
183,tt0111546,movie,An Unforgettable Summer,Un été inoubliable,1994.0,82.0,an unforgettable summer,7.3,1109,01/01/24 19:30,06/01/24
184,tt0111767,movie,Summer Snow,Nu ren si shi,1995.0,101.0,summer snow,7.8,841,01/01/24 19:30,06/01/24
185,tt0113612,movie,Last Summer in the Hamptons,Last Summer in the Hamptons,1995.0,108.0,last summer in the hamptons,5.7,443,01/01/24 19:30,06/01/24
186,tt0114775,movie,A Summer in La Goulette,Saeif Halq Al Wadi,1996.0,89.0,a summer in la goulette,6.3,876,01/01/24 19:30,06/01/24
187,tt0115940,movie,A Summer's Tale,Conte d'été,1996.0,113.0,a summers tale,7.6,10251,01/01/24 19:30,06/01/24
188,tt0115961,movie,Coyote Summer,Coyote Summer,1996.0,93.0,coyote summer,5.6,217,01/01/24 19:30,06/01/24
189,tt0116200,tvMovie,End of Summer,End of Summer,1997.0,95.0,end of summer,5.1,259,01/01/24 19:30,06/01/24
