,Unnamed: 0_x,tconst,genres,Unnamed: 0_y,title_type,primary_title,original_title,year,runtime_minutes,simple_title,average_rating,num_votes,timestamp,release_date
97,97,tt0060045,Crime,47,movie,10:30 P.M. Summer,10:30 P.M. Summer,1966.0,85.0,1030 pm summer,6.4,773,01/01/24 15:30,03/01/24
98,98,tt0060045,Drama,47,movie,10:30 P.M. Summer,10:30 P.M. Summer,1966.0,85.0,1030 pm summer,6.4,773,01/01/24 15:30,03/01/24
99,99,tt0060045,Romance,47,movie,10:30 P.M. Summer,10:30 P.M. Summer,1966.0,85.0,1030 pm summer,6.4,773,01/01/24 15:30,03/01/24
100,100,tt0060371,Documentary,48,movie,The Endless Summer,The Endless Summer,1966.0,95.0,the endless summer,7.6,6298,01/01/24 15:30,03/01/24
101,101,tt0060371,Sport,48,movie,The Endless Summer,The Endless Summer,1966.0,95.0,the endless summer,7.6,6298,01/01/24 15:30,03/01/24
102,102,tt0060694,Music,49,movie,A Midsummer Night's Dream,A Midsummer Night's Dream,1967.0,93.0,a midsummer nights dream,7.3,31,01/01/24 15:30,03/01/24
103,103,tt0061788,Adventure,50,tvMovie,How I Spent My Summer Vacation,How I Spent My Summer Vacation,1967.0,100.0,how i spent my summer vacation,7.0,231,01/01/24 15:30,03/01/24
104,104,tt0061788,Drama,50,tvMovie,How I Spent My Summer Vacation,How I Spent My Summer Vacation,1967.0,100.0,how i spent my summer vacation,7.0,231,01/01/24 15:30,03/01/24
105,105,tt0061788,Mystery,50,tvMovie,How I Spent My Summer Vacation,How I Spent My Summer Vacation,1967.0,100.0,how i spent my summer vacation,7.0,231,01/01/24 15:30,03/01/24
106,106,tt0062009,Crime,51,movie,Double Suicide: Japanese Summer,Muri shinjû: Nihon no natsu,1967.0,98.0,double suicide japanese summer,6.7,901,01/01/24 15:30,03/01/24
107,107,tt0062009,Drama,51,movie,Double Suicide: Japanese Summer,Muri shinjû: Nihon no natsu,1967.0,98.0,double suicide japanese summer,6.7,901,01/01/24 15:30,03/01/24
108,108,tt0062322,Drama,52,movie,Dry Summer,Susuz Yaz,1963.0,90.0,dry summer,7.8,5811,01/01/24 15:30,03/01/24
109,109,tt0062484,Action,53,movie,Uneasy Summer,Wenn es Nacht wird auf der Reeperbahn,1967.0,98.0,uneasy summer,6.3,139,01/01/24 15:30,03/01/24
110,110,tt0062484,Crime,53,movie,Uneasy Summer,Wenn es Nacht wird auf der Reeperbahn,1967.0,98.0,uneasy summer,6.3,139,01/01/24 15:30,03/01/24
111,111,tt0062484,Drama,53,movie,Uneasy Summer,Wenn es Nacht wird auf der Reeperbahn,1967.0,98.0,uneasy summer,6.3,139,01/01/24 15:30,03/01/24
112,112,tt0062619,Comedy,54,movie,One Swedish Summer,...som havets nakna vind,1968.0,105.0,one swedish summer,3.9,166,01/01/24 15:30,03/01/24
113,113,tt0062619,Drama,54,movie,One Swedish Summer,...som havets nakna vind,1968.0,105.0,one swedish summer,3.9,166,01/01/24 15:30,03/01/24
114,114,tt0062619,Romance,54,movie,One Swedish Summer,...som havets nakna vind,1968.0,105.0,one swedish summer,3.9,166,01/01/24 15:30,03/01/24
115,115,tt0063223,Drama,55,movie,Summer of the Lion,Lejonsommar,1968.0,86.0,summer of the lion,6.3,48,01/01/24 16:30,03/01/24
116,116,tt0063297,Comedy,56,movie,A Midsummer Night's Dream,A Midsummer Night's Dream,1968.0,124.0,a midsummer nights dream,6.5,898,01/01/24 16:30,03/01/24
117,117,tt0063297,Fantasy,56,movie,A Midsummer Night's Dream,A Midsummer Night's Dream,1968.0,124.0,a midsummer nights dream,6.5,898,01/01/24 16:30,03/01/24
118,118,tt0063297,Romance,56,movie,A Midsummer Night's Dream,A Midsummer Night's Dream,1968.0,124.0,a midsummer nights dream,6.5,898,01/01/24 16:30,03/01/24
119,119,tt0063351,Documentary,57,movie,Summer in Narita,Nihon Kaiho sensen: Sanrizuka no natsu,1968.0,108.0,summer in narita,7.3,54,01/01/24 16:30,03/01/24
120,120,tt0063527,Comedy,58,movie,Capricious Summer,Rozmarné léto,1968.0,74.0,capricious summer,6.9,1635,01/01/24 16:30,03/01/24
121,121,tt0063544,Drama,59,movie,Farewell to the Summer Light,Saraba natsu no hikari,1968.0,96.0,farewell to the summer light,6.8,266,01/01/24 16:30,03/01/24
122,122,tt0063544,Romance,59,movie,Farewell to the Summer Light,Saraba natsu no hikari,1968.0,96.0,farewell to the summer light,6.8,266,01/01/24 16:30,03/01/24
123,123,tt0064573,Drama,60,movie,Last Summer,Last Summer,1969.0,95.0,last summer,6.9,2197,01/01/24 16:30,03/01/24
124,124,tt0064761,Drama,61,movie,One Brief Summer,One Brief Summer,1971.0,86.0,one brief summer,5.9,26,01/01/24 16:30,03/01/24
125,125,tt0064761,Romance,61,movie,One Brief Summer,One Brief Summer,1971.0,86.0,one brief summer,5.9,26,01/01/24 16:30,03/01/24
126,126,tt0064808,Adventure,62,movie,The Picasso Summer,The Picasso Summer,1969.0,90.0,the picasso summer,5.2,380,01/01/24 16:30,03/01/24
127,127,tt0064808,Drama,62,movie,The Picasso Summer,The Picasso Summer,1969.0,90.0,the picasso summer,5.2,380,01/01/24 16:30,03/01/24
128,128,tt0065618,Drama,63,movie,Dead of Summer,Ondata di calore,1970.0,89.0,dead of summer,6.3,121,01/01/24 16:30,03/01/24
129,129,tt0065618,Mystery,63,movie,Dead of Summer,Ondata di calore,1970.0,89.0,dead of summer,6.3,121,01/01/24 16:30,03/01/24
130,130,tt0065618,Thriller,63,movie,Dead of Summer,Ondata di calore,1970.0,89.0,dead of summer,6.3,121,01/01/24 16:30,03/01/24
131,131,tt0065701,Drama,64,movie,Erika's Hot Summer,Erika's Hot Summer,1971.0,65.0,erikas hot summer,4.1,111,01/01/24 16:30,03/01/24
132,132,tt0065701,Romance,64,movie,Erika's Hot Summer,Erika's Hot Summer,1971.0,65.0,erikas hot summer,4.1,111,01/01/24 16:30,03/01/24
133,133,tt0065973,Action,65,movie,Summer Love,Le Mans scorciatoia per l'inferno,1970.0,92.0,summer love,4.7,77,01/01/24 16:30,03/01/24
134,134,tt0065973,Crime,65,movie,Summer Love,Le Mans scorciatoia per l'inferno,1970.0,92.0,summer love,4.7,77,01/01/24 16:30,03/01/24
135,135,tt0065973,Drama,65,movie,Summer Love,Le Mans scorciatoia per l'inferno,1970.0,92.0,summer love,4.7,77,01/01/24 16:30,03/01/24
136,136,tt0066421,Drama,66,movie,Summer in the City,Summer in the City,1971.0,116.0,summer in the city,5.8,349,01/01/24 16:30,03/01/24
137,137,tt0067028,Drama,67,movie,In the Summertime,Durante l'estate,1971.0,105.0,in the summertime,7.6,71,01/01/24 16:30,03/01/24
138,138,tt0067028,Romance,67,movie,In the Summertime,Durante l'estate,1971.0,105.0,in the summertime,7.6,71,01/01/24 16:30,03/01/24
139,139,tt0067803,Drama,68,movie,Summer of '42,Summer of '42,1971.0,104.0,summer of 42,7.2,9228,01/01/24 16:30,03/01/24
140,140,tt0067803,Romance,68,movie,Summer of '42,Summer of '42,1971.0,104.0,summer of 42,7.2,9228,01/01/24 16:30,03/01/24
141,141,tt0067804,Drama,69,movie,Summertree,Summertree,1971.0,88.0,summertree,5.7,380,01/01/24 16:30,03/01/24
142,142,tt0068992,Comedy,70,movie,Dear Summer Sister,Natsu no imôto,1972.0,96.0,dear summer sister,6.3,224,01/01/24 16:30,03/01/24
143,143,tt0068992,Drama,70,movie,Dear Summer Sister,Natsu no imôto,1972.0,96.0,dear summer sister,6.3,224,01/01/24 16:30,03/01/24
144,144,tt0069120,Drama,71,movie,Indian Summer,La prima notte di quiete,1972.0,132.0,indian summer,7.2,2689,01/01/24 16:30,03/01/24
145,145,tt0069120,Romance,71,movie,Indian Summer,La prima notte di quiete,1972.0,132.0,indian summer,7.2,2689,01/01/24 16:30,03/01/24
146,146,tt0069319,Drama,72,movie,Raid in the Summer,Strandhugg i somras,1972.0,88.0,raid in the summer,4.3,69,01/01/24 16:30,03/01/24
147,147,tt0069329,Drama,73,movie,Summer Soldiers,Samâ sorujâ,1972.0,107.0,summer soldiers,6.3,172,01/01/24 16:30,03/01/24
148,148,tt0069329,War,73,movie,Summer Soldiers,Samâ sorujâ,1972.0,107.0,summer soldiers,6.3,172,01/01/24 16:30,03/01/24
149,149,tt0069368,Drama,74,tvMovie,That Certain Summer,That Certain Summer,1972.0,73.0,that certain summer,7.7,499,01/01/24 16:30,04/01/24
150,150,tt0069457,Action,75,movie,Summertime Killer,Un verano para matar,1972.0,110.0,summertime killer,6.0,465,01/01/24 16:30,04/01/24
151,151,tt0069457,Crime,75,movie,Summertime Killer,Un verano para matar,1972.0,110.0,summertime killer,6.0,465,01/01/24 16:30,04/01/24
152,152,tt0069457,Drama,75,movie,Summertime Killer,Un verano para matar,1972.0,110.0,summertime killer,6.0,465,01/01/24 16:30,04/01/24
153,153,tt0069807,Comedy,76,movie,Blue Summer,Blue Summer,1973.0,79.0,blue summer,4.4,486,01/01/24 16:30,04/01/24
154,154,tt0069807,Drama,76,movie,Blue Summer,Blue Summer,1973.0,79.0,blue summer,4.4,486,01/01/24 16:30,04/01/24
